"RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","occ","occ_3_TEXT","Q52_Page_Submit","Q53_Page_Submit","mani_1","mani_2","mani_3","quit_1","quit_2","quit_3","year_1","month_1","found","coown","indu","indu_7_TEXT","locat","age_1","gender","edu","edu_6_TEXT","exp_cond"
2021-05-05 20:52:39,"51.4535064697265625","-2.591705322265625","EN",1,"",NA,22.341,5,5,5,4,3,2,22,4,1,2,1,"",185,26,2,4,"",2
2021-05-05 20:53:05,"51.9123992919921875","-0.3845977783203125","EN",2,"",130.327,NA,2,1,1,1,1,1,4,1,1,1,7,"Events",185,16,2,4,"",1
2021-05-05 20:53:08,"51.4770965576171875","-2.5531005859375","EN",2,"",NA,22.071,5,5,5,4,2,2,2,8,1,2,3,"",185,9,2,4,"",2
2021-05-05 20:53:22,"52.463592529296875","-1.79119873046875","EN",1,"",28.951,NA,1,1,1,1,1,1,5,7,1,1,7,"Animal Care",185,25,2,3,"",1
2021-05-05 20:53:36,"52.061798095703125","-1.3428955078125","EN",1,"",25.89,NA,3,1,1,1,1,1,31,4,1,1,5,"",185,13,1,4,"",1
2021-05-05 20:54:08,"55.016693115234375","-6.6667022705078125","EN",1,"",NA,21.86,4,5,5,4,4,4,5,8,1,2,7,"services",185,14,2,5,"",2
2021-05-05 20:54:18,"50.81610107421875","-1.234100341796875","EN",2,"",21.658,NA,3,1,1,1,1,1,3,10,2,2,3,"",185,1,2,2,"",1
2021-05-05 20:54:21,"51.4770965576171875","-2.5531005859375","EN",1,"",23.918,NA,3,3,4,2,3,2,2,4,1,1,7,"Art",185,4,2,4,"",1
2021-05-05 20:54:22,"53.37939453125","-2.91119384765625","EN",1,"",22.963,NA,2,1,1,1,1,2,17,6,1,1,1,"",185,43,1,6,"Masters Degree",1
2021-05-05 20:54:26,"51.453399658203125","-2.5077056884765625","EN",1,"",26.536,NA,1,1,1,1,1,1,32,1,1,1,3,"",185,44,2,3,"",1
2021-05-05 20:54:56,"56.117401123046875","-3.5345001220703125","EN",2,"",NA,38.957,5,4,4,4,3,2,10,4,1,1,7,"Arts",185,23,1,4,"",2
2021-05-05 20:55:46,"51.3488006591796875","-0.0321044921875","EN",1,"",36.481,NA,2,1,1,1,1,1,27,6,1,1,7,"services",185,46,1,3,"",1
2021-05-05 20:55:50,"50.3679962158203125","-4.132904052734375","EN",2,"",NA,34.196,5,5,5,4,4,4,7,9,1,1,4,"",185,31,1,2,"",2
2021-05-05 20:55:56,"50.8612060546875","-0.1194000244140625","EN",1,"",NA,26.398,5,4,5,4,2,4,8,1,1,1,3,"",185,24,2,4,"",2
2021-05-05 20:55:58,"52.95379638671875","-1.1571044921875","EN",1,"",NA,21.269,4,4,3,1,1,1,19,6,1,1,1,"",185,34,1,4,"",2
2021-05-05 20:56:03,"55.9552001953125","-3.1999969482421875","EN",1,"",NA,36.916,3,4,5,3,4,3,27,6,1,1,7,"home services",185,35,2,2,"",2
2021-05-05 20:56:05,"50.448394775390625","-4.2660064697265625","EN",1,"",NA,22.994,4,4,4,2,3,3,11,6,1,1,3,"",185,24,2,4,"",2
2021-05-05 20:57:30,"51.48919677734375","-0.027496337890625","EN",1,"",NA,49.578,5,4,4,2,3,2,9,8,1,1,4,"",185,36,1,4,"",2
2021-05-05 20:57:35,"51.5063934326171875","-0.0200042724609375","EN",1,"",NA,25.313,5,5,5,4,4,4,2,10,1,1,2,"",185,12,1,4,"",2
2021-05-05 20:57:44,"51.9322052001953125","-0.4568023681640625","EN",2,"",NA,24.791,5,5,5,4,5,4,15,7,1,1,1,"",185,23,1,4,"",2
2021-05-05 20:58:02,"51.07000732421875","-1.7978973388671875","EN",1,"",27.056,NA,2,1,1,1,1,1,9,9,1,1,7,"pet services",185,32,2,4,"",1
2021-05-05 20:58:02,"52.44769287109375","-1.8907012939453125","EN",2,"",NA,22.675,2,5,5,5,4,5,13,6,1,1,1,"",185,30,1,6,"Master of Science by Research",2
2021-05-05 20:58:25,"51.3303985595703125","-0.26800537109375","EN",1,"",21.163,NA,2,1,1,4,1,4,27,4,1,1,1,"",185,36,2,5,"",1
