"RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","occ","occ_3_TEXT","Q52_Page_Submit","Q53_Page_Submit","mani_1","mani_2","mani_3","quit_1","quit_2","quit_3","finsit_1","finsit_2","year_1","month_1","found","coown","indu","indu_7_TEXT","locat","age_1","gender","edu","edu_6_TEXT","exp_cond","year","month","t1timebuiss","ID"
2021-05-05,"52.463592529296875","-1.79119873046875","EN",1,"",28.951,NA,1,1,1,1,1,1,1,1,5,7,1,1,7,"Animal Care",185,25,2,3,"",1,2017,"Jul",1404,133
2021-05-05,"52.061798095703125","-1.3428955078125","EN",1,"",25.89,NA,3,1,1,1,1,1,2,4,31,4,1,1,5,"",185,13,1,4,"",1,1991,"Apr",10992,134
2021-05-05,"55.016693115234375","-6.6667022705078125","EN",1,"",NA,21.86,4,5,5,4,4,4,4,4,5,8,1,2,7,"services",185,14,2,5,"",2,2017,"Aug",1373,135
2021-05-05,"51.4770965576171875","-2.5531005859375","EN",1,"",23.918,NA,3,3,4,2,3,2,2,2,2,4,1,1,7,"Art",185,4,2,4,"",1,2020,"Apr",399,136
2021-05-05,"53.37939453125","-2.91119384765625","EN",1,"",22.963,NA,2,1,1,1,1,2,1,4,17,6,1,1,1,"",185,43,1,6,"Masters Degree",1,2005,"Jun",5817,137
2021-05-05,"51.453399658203125","-2.5077056884765625","EN",1,"",26.536,NA,1,1,1,1,1,1,1,4,32,1,1,1,3,"",185,44,2,3,"",1,1990,"Jan",11447,138
2021-05-05,"56.117401123046875","-3.5345001220703125","EN",2,"",NA,38.957,5,4,4,4,3,2,4,3,10,4,1,1,7,"Arts",185,23,1,4,"",2,2012,"Apr",3321,139
2021-05-05,"51.3488006591796875","-0.0321044921875","EN",1,"",36.481,NA,2,1,1,1,1,1,2,4,27,6,1,1,7,"services",185,46,1,3,"",1,1995,"Jun",9470,140
2021-05-05,"50.3679962158203125","-4.132904052734375","EN",2,"",NA,34.196,5,5,5,4,4,4,4,5,7,9,1,1,4,"",185,31,1,2,"",2,2015,"Sep",2073,141
2021-05-05,"50.8612060546875","-0.1194000244140625","EN",1,"",NA,26.398,5,4,5,4,2,4,1,4,8,1,1,1,3,"",185,24,2,4,"",2,2014,"Jan",2681,142
2021-05-05,"52.95379638671875","-1.1571044921875","EN",1,"",NA,21.269,4,4,3,1,1,1,2,4,19,6,1,1,1,"",185,34,1,4,"",2,2003,"Jun",6548,143
2021-05-05,"55.9552001953125","-3.1999969482421875","EN",1,"",NA,36.916,3,4,5,3,4,3,3,4,27,6,1,1,7,"home services",185,35,2,2,"",2,1995,"Jun",9470,144
2021-05-05,"50.448394775390625","-4.2660064697265625","EN",1,"",NA,22.994,4,4,4,2,3,3,3,4,11,6,1,1,3,"",185,24,2,4,"",2,2011,"Jun",3626,145
